uf,municipality,ibge_code,operator,source_subtype,feedstock,consumption_class,consumer_type,porte,elec_capacity_kw,connection_date,lat,lon,sector,data_confidence,source_name,source_url,dup_group_size
GO,Cristalina,5206206,AGROPECUÁRIA SORGATTO LTDA,Biogás-AGR,agricultural_residues,Rural,PJ,Minigeracao,3000.0,,-16.39,-47.54,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Gameleira de Goiás,5208152,Granja Leiteira Sol Dourado LTDA,Biogás - RA,animal_manure_agro,Rural,PJ,Minigeracao,211.0,,-16.41,-48.72,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Inhumas,5210000,(redacted),Biogás - RU,msw_landfill,Rural,PF,Minigeracao,192.0,,-16.31,-49.51,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Inhumas,5210000,(redacted),Biogás-AGR,agricultural_residues,Comercial,PF,Minigeracao,135.63,,-16.31,-49.51,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Inhumas,5210000,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,62.5,,-16.25,-49.48,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Morrinhos,5213806,(redacted),Biogás - RU,msw_landfill,Industrial,PF,Microgeracao,52.25,,-17.71,-48.96,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Orizona,5215306,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-17.03,-48.34,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Piracanjuba,5217104,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,85.32,,-17.18,-48.99,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Pontalina,5217708,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,29.6,,-17.58,-49.39,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Rio Verde,5218805,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,249.0,,-17.88,-51.18,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Rio Verde,5218805,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,211.2,,-18.1,-50.73,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Rio Verde,5218805,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,210.0,,-18.1,-50.73,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Rio Verde,5218805,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,201.6,,-18.1,-50.73,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Rio Verde,5218805,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,160.0,,-18.1,-50.73,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Rio Verde,5218805,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,120.0,,-18.1,-50.73,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Rio Verde,5218805,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,77.0,,-18.15,-50.99,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Rio Verde,5218805,Soagro Sociedade Agropecuaria,Biogás - RA,animal_manure_agro,Rural,PJ,Minigeracao,75.6,,-18.1,-50.73,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Rio Verde,5218805,(redacted),Biogás - Floresta,forestry_residues,Rural,PF,Microgeracao,75.0,,-17.72,-50.95,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Rio Verde,5218805,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,65.0,,-18.1,-50.73,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
GO,Santa Helena de Goiás,5219308,SEMPRE SEMENTES EIRELI,Biogás - Floresta,forestry_residues,Comercial,PJ,Minigeracao,1000.0,,-17.76,-50.57,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MA,Rosário,2109601,CONSORCIO VALORGAS ENERGIA SUSTENTAVEL,Biogás - RA,animal_manure_agro,Comercial,PJ,Minigeracao,1056.0,,-3.02,-44.19,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MA,Rosário,2109601,CONSORCIO VALORGAS ENERGIA SUST III,Biogás - RA,animal_manure_agro,Comercial,PJ,Minigeracao,1056.0,,-2.93,-44.28,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MA,Rosário,2109601,CONSORCIO VALORGAS ENERGIA SUSTENTAVEL M,Biogás - RA,animal_manure_agro,Comercial,PJ,Minigeracao,971.52,,-3.02,-44.19,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Abre Campo,3100302,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-20.32,-42.51,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Abre Campo,3100302,(redacted),Biogás - RU,msw_landfill,Rural,PF,Microgeracao,75.0,,-20.28,-42.46,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Abre Campo,3100302,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,60.0,,-20.29,-42.47,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Alpinópolis,3101904,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-20.91,-46.45,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Araguari,3103504,(redacted),Biogás-AGR,agricultural_residues,Rural,PF,Minigeracao,264.0,,-18.64,-48.24,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Araguari,3103504,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-18.51,-48.46,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Araguari,3103504,INSTITUTO DE ADMINIST & GESTAO EDUC,Biogás - RA,animal_manure_agro,Rural,PJ,Microgeracao,75.0,,-18.59,-48.29,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Araguari,3103504,INSTITUTO DE ADMINIST & GESTAO EDUC,Biogás - RA,animal_manure_agro,Comercial,PJ,Microgeracao,75.0,,-18.59,-48.31,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Bambuí,3105103,(redacted),Biogás - RU,msw_landfill,Rural,PF,Microgeracao,67.2,,-20.1,-46.0,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Bambuí,3105103,ARAPE AGROINDUSTRIA LTDA,Biogás - RA,animal_manure_agro,Rural,PJ,Microgeracao,60.0,,-20.02,-45.83,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Belo Horizonte,3106200,(redacted),Biogás - RU,msw_landfill,Rural,PF,Microgeracao,75.0,,-20.01,-44.69,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Bom Despacho,3107406,(redacted),Biogás - RU,msw_landfill,Rural,PF,Minigeracao,150.0,,-19.71,-45.3,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Botelhos,3108404,FAZENDA SERTAOZINHO LTDA,Biogás - RA,animal_manure_agro,Rural,PJ,Microgeracao,75.0,,-21.63,-46.34,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Botelhos,3108404,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-21.59,-46.39,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
