Fonte,Cana (ha),Soja (ha),Milho (ha),Cana (t),Açúcar (t),Etanol (m³)
PAM 2023,5484192.0,1360285.0,825734.0,,,
MapBiomas 2023,5846418.304729978,1418599.9941940233,,,,
UNICA 2018,5555502.0,,,,,
CONAB 2024,4091200.0,1304700.0,755200.0,,,
UNICA safra 2020/21,,,,356507515.0,26324147.0,14426350.0
