CodGeracaoDistribuida;NomTitularEmpreendimento;SigUF;NomMunicipio;CodMunicipioIbge;DscFonteGeracao;DscClasseConsumo;SigTipoConsumidor;DscPorte;MdaPotenciaInstaladaKW;DatConexao;NumCoordNEmpreendimento;NumCoordEEmpreendimento
;***;MG;São José da Varginha;3163102;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,76;-44,56
;***;MG;Urucânia;3170503;Biogás - RU;Rural;PF;Microgeracao;75,00;;-20,35;-42,70
;***;MG;Bambuí;3105103;Biogás - RU;Rural;PF;Microgeracao;67,20;;-20,10;-46,00
;***;MG;Rio Casca;3154903;Biogás - RU;Rural;PF;Microgeracao;75,00;;-20,23;-42,56
;FORTALEZA STA TERESINHA AGRIC PEC S;MG;São João da Ponte;3162401;Biogás - RU;Rural;PJ;Minigeracao;200,00;;-16,00;-43,75
;***;MG;Botelhos;3108404;Biogás - RA;Rural;PF;Microgeracao;75,00;;-21,59;-46,39
;***;MG;Três Corações;3169307;Biogás - RA;Rural;PF;Microgeracao;75,00;;-21,70;-45,16
;***;MG;Urucânia;3170503;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,36;-42,70
;***;MG;Pará de Minas;3147105;Biogás - RA;Rural;PF;Microgeracao;55,50;;-19,80;-44,69
;***;MG;Maravilhas;3139706;Biogás - RA;Rural;PF;Microgeracao;75,00;;-19,47;-44,70
;***;MG;Santo Antônio do Grama;3160108;Biogás - RA;Rural;PF;Microgeracao;60,00;;-20,34;-42,62
;***;MG;Monte Carmelo;3143104;Biogás - RA;Rural;PF;Microgeracao;75,00;;-18,67;-47,47
;***;MG;Passos;3147907;Biogás - RA;Residencial;PF;Microgeracao;75,00;;-20,64;-46,53
;***;MG;Pará de Minas;3147105;Biogás - RA;Rural;PF;Microgeracao;75,00;;-19,83;-44,77
;***;MG;Belo Horizonte;3106200;Biogás - RU;Rural;PF;Microgeracao;75,00;;-20,01;-44,69
;***;MG;Passos;3147907;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,72;-46,52
;***;MG;Formiga;3126109;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,55;-45,64
;***;MG;Pará de Minas;3147105;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,93;-44,76
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,39;-42,84
;***;MG;Santo Antônio do Grama;3160108;Biogás - RU;Rural;PF;Microgeracao;75,00;;-20,33;-42,58
;***;MG;Santa Juliana;3157708;Biogás - RA;Rural;PF;Microgeracao;75,00;;-19,25;-47,56
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,03;-43,07
;***;MG;Ponte Nova;3152105;Biogás - RA;Rural;PF;Minigeracao;250,00;;-20,32;-42,90
;***;MG;Onça de Pitangui;3145802;Biogás - RA;Rural;PF;Microgeracao;64,80;;-19,79;-44,75
;***;MG;Prata;3152808;Biogás - RA;Rural;PF;Microgeracao;75,00;;-19,27;-48,90
;***;MG;Urucânia;3170503;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,35;-42,70
;***;MG;Santo Antônio do Aventureiro;3160009;Biogás - RA;Rural;PF;Microgeracao;75,00;;-21,70;-42,79
;***;MG;Monsenhor Paulo;3142601;Biogás - RA;Rural;PF;Microgeracao;75,00;;-21,76;-45,59
;***;MG;Passos;3147907;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,73;-46,52
;***;MG;Carmo do Rio Claro;3114402;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,95;-46,21
;***;MG;Santana do Manhuaçu;3158904;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,14;-41,91
;***;MG;Pará de Minas;3147105;Biogás - RA;Rural;PF;Microgeracao;64,80;;-19,80;-44,69
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,42;-42,68
;***;MG;Raul Soares;3154002;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,11;-42,48
;***;MG;Pará de Minas;3147105;Biogás - RA;Rural;PF;Microgeracao;74,56;;-19,93;-44,58
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Microgeracao;74,25;;-20,38;-42,67
;uniao bancaria atletica uba;MG;Manhuaçu;3139409;Biogás - Floresta;Comercial;PJ;Microgeracao;75,00;;-20,27;-42,07
;***;MG;Pará de Minas;3147105;Biogás - RA;Rural;PF;Microgeracao;64,80;;-19,83;-44,77
;NOVO POMAR PRODUTOS ALIMENTICIOS;MG;Presidente Olegário;3153400;Biogás - RA;Comercial;PJ;Microgeracao;60,00;;-18,40;-46,40
;CONSORCIO VALORGAS ENERGIA SUSTENTAVEL MG II;MG;Santana do Paraíso;3158953;Biogás - RA;Comercial;PJ;Minigeracao;800,00;;-19,44;-42,51
;***;MG;Ponte Nova;3152105;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,35;-42,80
;***;MG;Onça de Pitangui;3145802;Biogás - RU;Rural;PF;Microgeracao;67,50;;-19,77;-44,74
;***;MG;Pedrinópolis;3149200;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,26;-47,45
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,41;-42,66
;***;MG;Canápolis;3111804;Biogás - RA;Rural;PF;Microgeracao;75,00;;-18,78;-49,02
;***;MG;Pará de Minas;3147105;Biogás - RA;Rural;PF;Microgeracao;75,00;;-19,93;-44,58
;CONSORCIO ENERGIA LIVRE;MG;Sabará;3156700;Biogás - RU;Comercial;PJ;Minigeracao;4997,60;;-19,85;-43,85
;***;MG;Conceição do Pará;3117603;Biogás - RA;Rural;PF;Microgeracao;60,00;;-19,83;-44,87
